"Rise and Dine with Chevron","Mon,  06 Apr 2015 9:30 CDT","GDC Atrium"
"UTCS Faculty Candidate - Adrian Sampson, University of Washington, ""Hardware and Software for Approximate Computing""","Mon,  06 Apr 2015 11:00 CDT","AVAYA Auditorium, POB"
"""Real-Time Analytics Processing"" with RetailMeNot","Mon,  06 Apr 2015 17:30 CDT","GDC 4.304"
"UTCS Faculty Candidate - James Mickens, Microsoft Research, ""Building a Better Web Browser""","Tue,  07 Apr 2015 11:00 CDT","GDC 2.216"
"Programming Languages Lunch - Keshav Pingali, UTCS, ""A graphical model for context-free grammar parsing""","Tue,  07 Apr 2015 12:00 CDT","GDC 6.302"
"WiCS General Meeting","Tue,  07 Apr 2015 18:00 CDT","GDC 6.302"
"Faculty Forum Lunch","Wed,  08 Apr 2015 12:00 CDT",""
"UTCS Faculty Candidate - Daniele Panozzo, ETH Zurich, ""Generalized Tangent Vector Fields""","Thu,  09 Apr 2015 11:00 CDT","GDC 2.216"
"Food For Thought with Indeed","Thu,  09 Apr 2015 12:30 CDT","GDC 6.302"
"Greybeard Study Group","Thu,  09 Apr 2015 17:00 CDT","GDC 2.410"
"Greybeard Study Group","Thu,  09 Apr 2015 17:00 CDT","GDC 2.410"
"UTCS Faculty Candidate - Emma Brunskill, Carnegie Mellon University, ""Faster Learning for Better Decisions""","Fri,  10 Apr 2015 11:00 CDT","GDC 6.302"
"Microsoft College Puzzle Challenge","Sat,  11 Apr 2015 (All day)","GDC 2.216"
"CS411: Intro to Upper Division Electives","Mon,  13 Apr 2015 18:00 CDT","GDC 2.216"
"UTCS Faculty Candidate - Srivatsan Raman, Harvard Medical School, ""Predicting 3-dimensional protein structures to atomic-level accuracy""","Tue,  14 Apr 2015 11:00 CDT","GDC 2.216"
"Meet Puppies and Microsoft!","Tue,  14 Apr 2015 12:00 CDT","GDC Atrium"
"Faculty Forum Lunch","Wed,  15 Apr 2015 12:00 CDT",""
"UTCS Faculty Candidate - Peter Bailis, UC Berkeley, ""Coordination Avoidance in Distributed Databases""","Thu,  16 Apr 2015 11:00 CDT","GDC 2.216"
"eBay/PayPal Mentoring Day","Thu,  16 Apr 2015 13:00 CDT","GDC 6.302"
"Greybeard Study Group","Thu,  16 Apr 2015 17:00 CDT","GDC 2.410"
"Greybeard Study Group","Thu,  16 Apr 2015 17:00 CDT","GDC 2.410"
"EGaDS General Meeting","Thu,  16 Apr 2015 19:00 CDT","GDC 6.302"
"Rise and Dine","Mon,  20 Apr 2015 9:30 CDT",""
"UTCS Faculty Candidate - Vladimir Kim, Stanford University, ""Structure and Function in Large Collections of 3D Models""","Tue,  21 Apr 2015 11:00 CDT","GDC 2.216"
"Faculty Forum Lunch","Wed,  22 Apr 2015 12:00 CDT",""
"UTCS Faculty Candidate - Joseph Gonzalez,  UC Berkeley, ""Learning Systems: Systems and Abstractions for Large-Scale Machine Learning""","Thu,  23 Apr 2015 11:00 CDT","GDC 2.216"
"Greybeard Study Group","Thu,  23 Apr 2015 17:00 CDT","GDC 2.410"
"Greybeard Study Group","Thu,  23 Apr 2015 17:00 CDT","GDC 2.410"
"""Making the Most of Your Summer"" - Presented by Google","Thu,  23 Apr 2015 19:00 CDT","GDC 1.304"
"UTCS Faculty Candidate - Ira Kemelmacher-Shlizerman, University of Washington, ""Big visual data meets human face modeling""","Fri,  24 Apr 2015 11:00 CDT","POB 2.302 (AVAYA)"
"TGIF with Schlumberger","Fri,  24 Apr 2015 16:00 CDT",""
"Jolly Game Jam","Sat,  25 Apr 2015 (All day)","GDC 6.302"
"Jolly Game Jam","Sun,  26 Apr 2015 (All day)","GDC 6.302"
"UTCS Faculty Candidate - Anca Dragan, Carnegie Mellon Robotics Institute, ""Interaction as Manipulation""","Tue,  28 Apr 2015 11:00 CDT","GDC 2.216"
"Senior Banquet - brought to you by Project Giving Tree","Tue,  28 Apr 2015 18:00 CDT",""
"Faculty Forum Lunch","Wed,  29 Apr 2015 12:00 CDT",""
"Greybeard Study Group","Thu,  30 Apr 2015 17:00 CDT","GDC 2.410"
"Greybeard Study Group","Thu,  30 Apr 2015 17:00 CDT","GDC 2.410"
"Faculty Forum Lunch","Wed,  06 May 2015 12:00 CDT",""
"Scholarship Dinner","Wed,  06 May 2015 18:00 CDT",""
"Brain Freeze with Dante Inc. ","Thu,  07 May 2015 15:00 CDT","GDC Atrium"
"Greybeard Study Group","Thu,  07 May 2015 17:00 CDT","GDC 2.410"
"Greybeard Study Group","Thu,  07 May 2015 17:00 CDT","GDC 2.410"
"Last Class Day","Fri,  08 May 2015 (All day)",""
"Rise and Dine with the CIA","Fri,  08 May 2015 9:30 CDT",""
"Faculty Forum Lunch","Wed,  13 May 2015 12:00 CDT",""
"Faculty Forum Lunch","Wed,  20 May 2015 12:00 CDT",""
"Faculty Forum Lunch","Wed,  27 May 2015 12:00 CDT",""
"Faculty Forum Lunch","Wed,  03 Jun 2015 12:00 CDT",""
