"Registrar - SYSTEMS PHYSIOLOGY","Mon,  27 Apr 2015 8:00 CDT","","Room: GDC 4.302"
"Registrar - 5-BILINGUAL LANG ACQUISITION","Mon,  27 Apr 2015 8:00 CDT","","Room: GDC 4.304"
"Registrar - SYSTEMS PHYSIOLOGY","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 4.302"
"Registrar - CELL BIOLOGY","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 2.502"
"Registrar - ECOLOGY, EVOLUTION, & SOCIETY","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 2.410"
"CS347 Project Reviews","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 5.516"
"Registrar - PRINCIPLES OF COMPUTER SYS-C S","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 2.216"
"Registrar - ESL Classes ","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 2.210"
"Registrar - DATABASE SYSTEMS","Mon,  27 Apr 2015 9:00 CDT","","Room: GDC 5.304"
"Registrar - PROGRAMMING LANGUAGES","Mon,  27 Apr 2015 9:30 CDT","","Room: GDC 5.302"
"Registrar - OPEN SOURCE SOFTWARE ENGR","Mon,  27 Apr 2015 9:30 CDT","","Room: GDC 1.304"
"Academics - Staff Meeting","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 2.712"
"Registrar - GAME TECHNOLOGY","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 4.302"
"Registrar - ECOLOGY, EVOLUTION, & SOCIETY","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 2.502"
"Registrar - LIMNOLOGY AND OCEANOGRAPHY","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 2.410"
"Registrar - FIG - College of Natural Sciences ","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 2.402"
"Game Technology","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 2.506"
"Registrar - SYSTEMS PHYSIOLOGY","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 6.202"
"CS 439 - makeup midterm exam","Mon,  27 Apr 2015 10:00 CDT","","Room: GDC 5.416"
"Registrar - 7-SOFTWARE ARCHITECTURES","Mon,  27 Apr 2015 10:30 CDT","","Room: GDC 1.406"
"Registrar - PROGRAMMING FOR PERFORMANCE","Mon,  27 Apr 2015 11:00 CDT","","Room: GDC 4.304"
"Registrar - WICS, ALGORITHM, ELA TALKS ","Mon,  27 Apr 2015 11:00 CDT","","Room: GDC 4.304"
"Registrar - COMPUTER GRAPHICS","Mon,  27 Apr 2015 11:00 CDT","","Room: GDC 4.302"
